open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1747886400000,111810.00000000,111833.93000000,110488.10000000,111072.00000000,903.78192000,1747900799999,100444630.59407030,155595,460.51400000,51187961.18226480,0
1747900800000,111072.00000000,111342.41000000,110289.20000000,110996.88000000,662.62764000,1747915199999,73401775.47797250,123500,337.89613000,37432483.49513620,0
1747915200000,110996.89000000,111637.85000000,110572.42000000,111335.99000000,1421.87635000,1747929599999,158158362.59184810,187829,846.28263000,94153683.94261130,0
1747929600000,111340.24000000,112000.00000000,110973.00000000,111239.60000000,831.26690000,1747943999999,92747585.74549930,126963,439.40859000,49033515.95489280,0
1747944000000,111239.60000000,111776.61000000,110785.00000000,111731.20000000,326.92875000,1747958399999,36337238.54544110,67239,156.03330000,17347194.19568140,0
1747958400000,111731.21000000,111836.63000000,111038.66000000,111108.00000000,311.38795000,1747972799999,34697203.53119240,68013,140.14630000,15616209.15955560,0
1747972800000,111108.33000000,111199.47000000,110402.00000000,110723.63000000,387.85635000,1747987199999,42942791.88049740,80240,174.56543000,19328136.11732460,0
1747987200000,110723.64000000,111382.00000000,108900.00000000,109101.18000000,749.48012000,1748001599999,82635534.96536180,106547,309.08868000,34097716.34691260,0
1748001600000,109083.06000000,110040.01000000,107328.81000000,108977.49000000,2138.06560000,1748015999999,232782343.30279280,266568,1041.41007000,113467386.69190570,0
1748016000000,108978.01000000,109856.08000000,107964.70000000,108748.77000000,1115.06921000,1748030399999,121659279.22549100,140988,664.20694000,72527154.07670630,0
1748030400000,108740.82000000,108755.30000000,106816.18000000,107330.00000000,579.39362000,1748044799999,62501843.68196230,104401,250.64537000,27053775.52224170,0
1748044800000,107330.00000000,108396.75000000,106910.00000000,108395.13000000,400.35916000,1748059199999,43107607.81137600,70083,193.01767000,20786449.43873370,0
1748059200000,108395.13000000,108602.48000000,107587.54000000,107627.99000000,365.62115000,1748073599999,39534086.67290650,55760,164.91605000,17833723.18305370,0
1748073600000,107627.99000000,109521.07000000,107627.99000000,109232.56000000,645.57587000,1748087999999,70204276.47451520,85149,365.63341000,39760633.78597910,0
1748088000000,109232.56000000,109301.61000000,108543.76000000,108977.98000000,345.68188000,1748102399999,37649906.68676550,55597,156.93656000,17100351.54203070,0
1748102400000,108977.99000000,109253.62000000,108734.70000000,108994.00000000,235.37761000,1748116799999,25648474.86135990,37968,116.85825000,12733616.93860850,0
1748116800000,108994.01000000,109157.50000000,107538.47000000,107800.01000000,482.80523000,1748131199999,52246305.59213040,70674,191.07584000,20676716.92862280,0
1748131200000,107800.01000000,108322.85000000,107228.96000000,108138.24000000,376.43801000,1748145599999,40582465.59632220,67477,189.47966000,20434935.27393320,0
1748145600000,108139.99000000,108334.99000000,107482.00000000,107705.82000000,267.39274000,1748159999999,28839682.84261940,37181,108.99904000,11757453.52009660,0
1748160000000,107708.16000000,107751.56000000,106751.27000000,107292.01000000,549.27471000,1748174399999,58880891.13116030,77983,252.51350000,27070286.98271150,0
1748174400000,107290.80000000,107790.64000000,106651.90000000,107008.00000000,470.37162000,1748188799999,50481724.74452470,73182,220.55835000,23671694.78148130,0
1748188800000,107013.78000000,107973.98000000,106610.00000000,107754.45000000,289.69831000,1748203199999,31080978.66011840,51420,156.37684000,16785329.79633630,0
1748203200000,107754.44000000,109375.67000000,107219.74000000,109058.00000000,656.93439000,1748217599999,71301354.57164720,111472,366.44624000,39780543.64255870,0
1748217600000,109058.00000000,109930.73000000,108736.84000000,109692.18000000,1173.16205000,1748231999999,128172061.34443160,104741,401.09550000,43904303.84506920,0
1748232000000,109692.18000000,110271.95000000,109437.44000000,110164.00000000,594.69706000,1748246399999,65284059.60833170,74307,318.14961000,34928168.81211750,0
1748246400000,110164.00000000,110241.51000000,109622.75000000,109835.42000000,402.02628000,1748260799999,44158883.28127010,70579,218.69918000,24023424.90637200,0
1748260800000,109835.42000000,110466.35000000,109536.82000000,110055.99000000,580.26356000,1748275199999,63790564.88314990,94176,286.95961000,31549502.34778900,0
1748275200000,110055.99000000,110480.74000000,108906.01000000,109168.01000000,656.30816000,1748289599999,71821462.38470530,106648,296.80884000,32480554.28591400,0
1748289600000,109168.01000000,109930.00000000,108981.49000000,109478.01000000,315.94367000,1748303999999,34567933.15681340,73046,157.75972000,17261213.71435140,0
1748304000000,109478.01000000,109714.28000000,107547.13000000,108922.00000000,881.03487000,1748318399999,95644533.15351780,160361,416.50371000,45224791.46847110,0
1748318400000,108922.00000000,109673.94000000,108588.60000000,109575.99000000,467.36498000,1748332799999,50990388.51980410,85787,222.75078000,24305668.40844700,0
1748332800000,109577.99000000,109940.00000000,109447.37000000,109647.12000000,511.43224000,1748347199999,56096565.60102100,86341,249.35507000,27353839.70536890,0
1748347200000,109647.13000000,110799.10000000,108745.45000000,110190.02000000,1881.57571000,1748361599999,206776953.81968990,300592,888.85382000,97758353.54231570,0
1748361600000,110192.22000000,110563.77000000,109630.32000000,109943.46000000,657.98524000,1748375999999,72491201.84866230,181725,307.28069000,33853397.50699480,0
1748376000000,109943.47000000,109958.59000000,108661.29000000,108992.92000000,480.56357000,1748390399999,52502723.38947310,123785,217.05829000,23712376.15014890,0
1748390400000,108992.92000000,109334.92000000,108452.51000000,108920.02000000,454.51027000,1748404799999,49480719.89952470,121995,203.50877000,22156288.39201900,0
1748404800000,108920.02000000,109142.85000000,108682.00000000,108874.02000000,337.06968000,1748419199999,36719230.42375920,74461,169.23529000,18437317.59842620,0
1748419200000,108874.02000000,109183.00000000,108312.50000000,108918.88000000,559.68500000,1748433599999,60880461.54937220,116570,241.06900000,26226652.33925570,0
1748433600000,108918.88000000,109113.82000000,107096.00000000,107156.01000000,1025.74997000,1748447999999,110795072.36029890,221971,409.64544000,44261295.99716920,0
1748448000000,107158.13000000,107891.99000000,106980.00000000,106980.00000000,688.00479000,1748462399999,73960273.10319020,159578,330.48297000,35532642.04157490,0
1748462400000,106980.01000000,108087.99000000,106814.85000000,107817.98000000,484.19892000,1748476799999,52028826.24473800,131026,248.84861000,26753015.41062940,0
1748476800000,107817.98000000,108519.66000000,107442.96000000,108082.79000000,506.75875000,1748491199999,54755011.92684860,149777,266.70021000,28819990.02614930,0
1748491200000,108082.79000000,108150.00000000,106993.95000000,107922.01000000,398.71788000,1748505599999,42926852.60121380,119779,187.49135000,20185392.03829350,0
1748505600000,107923.99000000,108941.17000000,107729.34000000,108826.66000000,480.28588000,1748519999999,52122006.00612570,129106,239.72533000,26011605.61736170,0
1748520000000,108826.65000000,108840.76000000,106500.00000000,107049.98000000,1363.70688000,1748534399999,146669541.45832440,303198,695.70214000,74819971.50602140,0
1748534400000,107049.98000000,107197.29000000,105648.39000000,105757.29000000,1073.08690000,1748548799999,114158230.52275950,269098,498.16470000,53006273.18148790,0
1748548800000,105753.98000000,106486.52000000,105333.00000000,105586.03000000,533.89163000,1748563199999,56603878.04169070,138793,253.22638000,26856227.34293210,0
1748563200000,105586.03000000,106226.59000000,104610.03000000,106053.99000000,698.68180000,1748577599999,73751280.33147670,211277,329.19450000,34762091.91952930,0
1748577600000,106053.99000000,106342.00000000,104775.00000000,105077.99000000,802.62557000,1748591999999,84719635.70296090,173137,396.37825000,41827196.43658140,0
1748592000000,105078.00000000,106034.07000000,104650.00000000,105916.00000000,784.61457000,1748606399999,82673022.10173890,194602,399.44733000,42097866.10531050,0
1748606400000,105916.01000000,106029.41000000,105074.03000000,105567.57000000,825.89972000,1748620799999,87206595.03209270,244330,421.48056000,44505528.99448560,0
1748620800000,105567.57000000,105588.00000000,103720.34000000,104663.57000000,1375.48594000,1748635199999,143589746.24736790,298223,629.87815000,65746776.28859950,0
1748635200000,104660.01000000,104922.30000000,103657.40000000,104041.77000000,589.24093000,1748649599999,61443409.49799210,179897,300.78820000,31366147.25921080,0
1748649600000,104041.76000000,104343.15000000,103127.00000000,103724.01000000,689.97436000,1748663999999,71570109.92933400,180821,308.44827000,31997697.76003550,0
1748664000000,103724.00000000,103955.12000000,103537.07000000,103801.80000000,255.51572000,1748678399999,26511972.77204870,60104,116.55192000,12093856.02973130,0
1748678400000,103801.81000000,103860.00000000,103333.33000000,103544.00000000,479.90308000,1748692799999,49706397.66073880,78123,232.80934000,24114048.79932610,0
1748692800000,103544.01000000,104904.97000000,103521.39000000,104614.31000000,455.55632000,1748707199999,47539407.68027780,66317,253.86314000,26491695.81499990,0
1748707200000,104614.31000000,104850.00000000,104325.68000000,104759.99000000,312.01422000,1748721599999,32636529.17665670,38863,144.15492000,15081114.16686040,0
1748721600000,104759.99000000,104958.32000000,104538.63000000,104647.99000000,260.60164000,1748735999999,27301298.35397690,30846,116.94296000,12253573.82793310,0
1748736000000,104648.00000000,104698.30000000,103979.30000000,104430.01000000,230.82400000,1748750399999,24074551.10304460,46905,109.02663000,11371375.85373990,0
1748750400000,104430.01000000,104789.99000000,104261.58000000,104341.44000000,148.99682000,1748764799999,15571848.51071990,28804,76.39132000,7983728.43344320,0
1748764800000,104341.43000000,104516.00000000,103817.90000000,104146.00000000,246.43795000,1748779199999,25650408.85787220,43643,117.18226000,12197442.09462000,0
1748779200000,104146.00000000,104862.00000000,103842.63000000,104771.17000000,292.19900000,1748793599999,30525380.36400450,49024,152.73247000,15952772.07077880,0
1748793600000,104771.17000000,105354.00000000,104389.07000000,105186.01000000,481.42955000,1748807999999,50566946.29120750,75504,266.67186000,28009398.80530680,0
1748808000000,105186.01000000,105928.57000000,104966.01000000,105702.01000000,395.75202000,1748822399999,41733940.26072660,56508,194.03512000,20458187.05797270,0
1748822400000,105702.01000000,105799.64000000,104621.00000000,104888.01000000,283.36657000,1748836799999,29848256.94488070,56768,132.44434000,13951940.66202860,0
1748836800000,104888.00000000,105496.00000000,104652.57000000,105447.99000000,281.40942000,1748851199999,29570930.54379380,43385,135.49026000,14238740.01494920,0
1748851200000,105448.00000000,105992.24000000,103981.40000000,104093.99000000,969.41096000,1748865599999,101524390.63708840,121099,380.38517000,39846817.39547040,0
1748865600000,104093.15000000,104733.98000000,103703.28000000,104494.00000000,901.50403000,1748879999999,93957242.92169430,126422,402.53060000,41950974.13454260,0
