open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
1760516700000,113064.73000000,113199.99000000,112996.81000000,113193.54000000,14.79999000,1760516999999,1674039.65651910,2571,9.90387000,1120192.14613570,0
1760517000000,113193.54000000,113600.00000000,113177.05000000,113366.07000000,46.39613000,1760517299999,5262003.03450550,7599,28.32179000,3212088.60480330,0
1760517300000,113364.99000000,113394.98000000,113268.13000000,113355.67000000,14.10467000,1760517599999,1598581.10047280,2414,5.22428000,592120.17777280,0
1760517600000,113355.66000000,113384.31000000,113252.12000000,113303.28000000,5.95690000,1760517899999,675004.48414850,2051,2.81630000,319112.97142040,0
1760517900000,113292.55000000,113292.55000000,113023.53000000,113208.22000000,16.28622000,1760518199999,1843238.46957820,3148,6.09091000,689388.81219670,0
1760518200000,113206.55000000,113220.01000000,112978.71000000,113104.00000000,18.40876000,1760518499999,2081498.75040870,2367,7.28707000,824137.01991530,0
1760518500000,113103.99000000,113115.14000000,113019.14000000,113019.14000000,6.30995000,1760518799999,713515.63964320,1325,2.55815000,289254.07681980,0
1760518800000,113019.15000000,113097.11000000,112885.39000000,113080.00000000,13.39903000,1760519099999,1513840.87072990,2407,5.92961000,669886.01103130,0
1760519100000,113080.00000000,113211.46000000,112915.46000000,113140.18000000,34.47133000,1760519399999,3898158.88309460,4165,21.11327000,2387585.97764000,0
1760519400000,113140.17000000,113140.17000000,113039.01000000,113039.01000000,8.65101000,1760519699999,978350.42835150,1672,4.50305000,509243.21003370,0
1760519700000,113039.01000000,113061.62000000,112674.58000000,112814.72000000,24.80514000,1760519999999,2798726.96860610,3451,11.26563000,1270767.00611820,0
1760520000000,112814.72000000,112909.30000000,112571.87000000,112700.01000000,18.87458000,1760520299999,2127584.19674990,3358,7.27734000,820168.69499650,0
1760520300000,112700.02000000,112772.12000000,112641.74000000,112675.83000000,8.34449000,1760520599999,940445.76984710,1651,2.46812000,278186.03042690,0
1760520600000,112675.83000000,112725.00000000,112457.20000000,112610.98000000,17.54983000,1760520899999,1975710.52869280,4031,6.51818000,733897.07146470,0
1760520900000,112610.99000000,112749.88000000,112610.82000000,112674.37000000,14.29823000,1760521199999,1610818.62122840,2150,10.36511000,1167627.10664710,0
1760521200000,112674.37000000,112701.23000000,112602.08000000,112624.57000000,10.19618000,1760521499999,1148623.07690820,1214,7.80921000,879725.61350900,0
1760521500000,112624.56000000,112798.01000000,112609.21000000,112726.13000000,9.63863000,1760521799999,1086373.70436220,1672,6.64888000,749349.38338000,0
1760521800000,112721.08000000,112721.08000000,112483.33000000,112574.29000000,12.99547000,1760522099999,1462649.07252440,1715,6.35862000,715607.49325140,0
1760522100000,112574.29000000,112654.80000000,112527.12000000,112641.12000000,10.22265000,1760522399999,1150973.71102340,749,8.18468000,921534.17230780,0
1760522400000,112641.12000000,112641.12000000,112393.27000000,112447.01000000,26.36469000,1760522699999,2965450.39598730,2835,9.68290000,1089035.44273530,0
1760522700000,112447.01000000,112600.06000000,112447.01000000,112573.31000000,18.38685000,1760522999999,2069088.35949030,1729,12.18394000,1370910.27990050,0
1760523000000,112573.30000000,112738.58000000,112498.56000000,112660.28000000,18.93214000,1760523299999,2131606.51949020,1660,9.45218000,1064531.56140250,0
1760523300000,112660.27000000,112684.00000000,112581.84000000,112660.28000000,4.62731000,1760523599999,521265.75228680,1053,2.54001000,286115.16928600,0
1760523600000,112660.28000000,112677.59000000,112521.03000000,112563.63000000,20.96815000,1760523899999,2360762.47093450,1488,16.34245000,1839918.78283780,0
1760523900000,112565.99000000,112569.82000000,112392.00000000,112476.96000000,33.68495000,1760524199999,3789482.02429820,2929,17.38536000,1955941.88299240,0
1760524200000,112481.51000000,112550.33000000,112436.40000000,112504.98000000,13.27665000,1760524499999,1493676.12019790,2174,5.64244000,634845.03504230,0
1760524500000,112504.98000000,112576.48000000,112370.58000000,112530.00000000,6.81786000,1760524799999,766799.75979660,1995,2.76586000,311142.80836410,0
1760524800000,112530.99000000,112538.56000000,112177.60000000,112427.77000000,45.07812000,1760525099999,5063730.95407920,4540,10.90595000,1224858.07106380,0
1760525100000,112427.76000000,112495.20000000,112360.89000000,112360.89000000,18.47544000,1760525399999,2077466.91518340,1615,12.59872000,1416706.32521830,0
1760525400000,112360.90000000,112423.26000000,112299.12000000,112316.39000000,7.64399000,1760525699999,858751.27167890,1727,2.34664000,263676.78128080,0
